,Validated Parameter Name,Units,Description
1,Absolute Roll Rate,deg/s,Aircraft Roll Rate
2,Accel Lat,g,Lateral Acceleration
3,Accel Long,g,Longitudinal Acceleration
4,Accel Vert,g,Vertical Acceleration
5,Active Altitude Ref - FCC,,FCC Altitude Reference
6,Aileron Actuator Pos-L,deg,Left Aileron Actuator Position
7,Aileron Quadrant Pos,deg,Aileron Control Quadrant Position
8,Aileron Roll Cmd-L,deg,Left FCC Aileron Roll Command
9,Aileron-L,deg,Left Aileron Position
10,Aileron-R,deg,Right Aileron Position
11,Air Gnd On Gnd,,Air Ground Sensor on Ground
12,AIR GROUND - SMYDC-1,,SMYDC 1 On Ground
13,AIR GROUND - SMYDC-2,,SMYDC 2 On Ground
14,Air-Ground,,Air/Ground
15,Airspeed Comp,kts,Computed Airspeed
16,Airspeed Max Allowable,kts,FCC Max Allowable Airspeed
17,Airspeed Target FCC,kts,FCC Computed Airspeed Target
18,Alt 1 Baro Corr,ft,Barometric Corrected Altitude 1
19,Alt 2 Baro Corr,ft,Barometric Corrected Altitude 2
20,Alt 3 Baro Corr,ft,Barometric Corrected Altitude 3
21,Alt 4 Baro Corr,ft,Barometric Corrected Altitude 4
22,ALT ACQ Engaged - FCC,,Altitude Acquire Autopilot Mode Engaged
23,Alt Baro Corr Combine,ft,Combined Barometric Corrected Altitude
24,ALT HOLD Engaged - FCC,,Altitude Hold Autopilot Mode Engaged
25,Altitude Press,ft,Pressure Altitude
26,Altitude Radio DEU,ft,Displayed Radio Altitude
27,Altitude Radio-1,ft,Radio Altimeter 1
28,Altitude Radio-2,ft,Radio Altimeter 2
29,AP Off-FCC,,Autopilot Off
30,AP-1 Warn,,Autopilot Warning 1
31,AP-2 Warn,,Autopilot Warning 2
32,APU N1,%RPM,APU Shaft Speed
33,APU On,,APU Running
34,APU Ready To Load,,APU Ready for Load
35,AT FMC SPD Engaged,,Autothrottle Speed Mode Engaged
36,CMD A-FCC,,FCCA In Command
37,CMD A Light- FCC,,FCCA Light Active
38,CMD B Liqht- FCC,,FCC B Light Active
39,Ctrl Col Force Pitch CWS,lb,Combined Control Column Force
40,Ctrl Col Force Pitch CWS Foreign,lb,Control Column Force Opposite FCC
41,Ctrl Col Force Pitch CWS Local,lb,Control Column Force Commanding FCC
42,Ctrl Col Pos-L,deg,Left Control Column Position
43,Ctrl Col Pos-R,deg,Right Control Column Position
44,Ctrl Whl Force Roll CWS,lb,Control Wheel Force
45,Ctrl Whl Pos-L,deg,Left Control Wheel Position
46,Ctrl Whl Pos-R,deg,Right Control Wheel Position
47,Drift Angle-FMC,deg,Computed Drift Angle
48,Elevator Actuator Pos-L,deg,Left Elevator Actuator Position
49,Elevator Pitch Cmd-L,deg,Left FCC Elevator Pitch Command
50,Elevator-L,deg,Left Elevator Position
51,Elevator-R,deg,Right Elevator Position
52,Eng1 Cutoff SW,,Left EngineCutoff Switch
53,Eng1 EGT,degC,Left Engine Exhaust Gas Temperature
54,Eng1 Fire,,Left Engine Fire Detected
55,Eng1 FMC N1 Bug Drive,%RPM,Left Engine N1 Bug Drive
56,Eng1 FMC N1 Target,%RPM,Left Engine N1 Target
57,Eng1 FMV Pos,%,Left Engine Fuel Metering Valve Position
58,Eng1 Fuel Flow,pph,Left Engine Fuel Flow
59,Eng1 N1,%RPM,Left Engine Fan Speed
60,Eng1 N1 Cmd,%RPM,Left Engine Fan Speed Commnad
61,Eng1 N1 Ref,%RPM,Left Engine Reference Fan Speed
62,Eng1 N1 Tach,%RPM,Left Engine Fan Speed Tach
63,Eng1 N2 Actual,%RPM,Left EngineCore Speed
64,Eng1 N2 Tach,%RPM,Left Engine Core Speed Tach
65,Eng1 Oil Press,psi,Left EngineOil Pressure
66,Eng1OilQty,qt,Left Engine Oil Quantity
67,Eng1 Oil Temp,degC,Left EngineOil Temperature
68,Eng1 TRA,deg,Left Engine Throttle Resolver Angle
69,Eng2 Cutoff SW,,Right Engine Cutoff Switch
70,Eng2 EGT,degC,Right Engine Exhaust Gas Temperature
71,Eng2 Fire,,Right Engine Fire Detected
72,Eng2 FMC N1 Bug Drive,%RPM,Right Engine N1 Bug Drive
73,Eng2 FMC N1 Target,%RPM,Right Engine N1 Target
74,Eng2 FMV Pos,%,Right Engine Fuel Metering Valve Position
75,Eng2 Fuel Flow,pph,Right Engine Fuel Flow
76,Eng2 N1,%RPM,Right Engine Fan Speed
77,Eng2 N1 Cmd,%RPM,Right Engine Fan Speed Command
78,Eng2 N1 Ref,%RPM,Right Engine Reference Fan Speed
79,Eng2 N1 Tach,%RPM,Right Engine Fan Speed Tach
80,Eng2 N2 Actual,%RPM,Right Engine Core Speed
81,Eng2 N2 Tach,%RPM,Right Engine Core Speed Tach
82,Eng2 Oil Press,psi,Right Engine Oil Pressure
83,Eng2 Oil Qty,qt,Right Engine Oil Quantity
84,Eng2 Oil Temp,degC,Right Engine Oil Temperature
85,Eng2 TRA,deg,Right Engine Throttle Resolver Angle
86,FAC Engage - FCC,,Final Approach Course AP Mode Engaged
87,FCC In Command of MACH Trim - R,,Right FCC Commanding Mach Trim
88,FCC-L In Command of MACH Trim,,Left FCC Commanding Mach Trim
89,FD-A Switch - FCC,,Flight Director A Switch
90,FD-B Switch - FCC,,Flight Director B Switch
91,Flap Handle Pos,deg,Flap Handle Position
92,Flap-L,deg,Left Flap Position
93,Flap-R,deg,Right Flap Position
94,FMC Selected Airspeed,kts,Selected Airspeed - FMC
95,FMC Selected Altitude,ft,Selected Altitude - FMC
96,FMC Selected Mach,mach,Selected Mach Number - FMC
97,FMC Valid,,FMC Valid
98,G/S Dev Warn-FCC,,Glideslope Deviation Warning
